icon_type,file_path,file_name,stem,dir_name,candidate_name,canonical_service_name,coarse_class,service_code_mapped,matched
service,Architecture-Service-Icons_02072025/Arch_Business-Applications/32/Arch_AWS-Wickr_32.svg,Arch_AWS-Wickr_32.svg,Arch_AWS-Wickr_32,32,Arch AWS Wickr,,,,False
service,Architecture-Service-Icons_02072025/Arch_Business-Applications/32/Arch_Alexa-For-Business_32.svg,Arch_Alexa-For-Business_32.svg,Arch_Alexa-For-Business_32,32,Arch Alexa For Business,,,,False
service,Architecture-Service-Icons_02072025/Arch_Business-Applications/32/Arch_AWS-Supply-Chain_32.svg,Arch_AWS-Supply-Chain_32.svg,Arch_AWS-Supply-Chain_32,32,Arch AWS Supply Chain,,,,False
service,Architecture-Service-Icons_02072025/Arch_Business-Applications/32/Arch_Amazon-Simple-Email-Service_32.svg,Arch_Amazon-Simple-Email-Service_32.svg,Arch_Amazon-Simple-Email-Service_32,32,Arch Amazon Simple Email Service,,,,False
service,Architecture-Service-Icons_02072025/Arch_Business-Applications/32/Arch_Amazon-Pinpoint-APIs_32.svg,Arch_Amazon-Pinpoint-APIs_32.svg,Arch_Amazon-Pinpoint-APIs_32,32,Arch Amazon Pinpoint APIs,,,,False
service,Architecture-Service-Icons_02072025/Arch_Business-Applications/32/Arch_Amazon-Pinpoint_32.svg,Arch_Amazon-Pinpoint_32.svg,Arch_Amazon-Pinpoint_32,32,Arch Amazon Pinpoint,,,,False
service,Architecture-Service-Icons_02072025/Arch_Business-Applications/32/Arch_AWS-End-User-Messaging_32.svg,Arch_AWS-End-User-Messaging_32.svg,Arch_AWS-End-User-Messaging_32,32,Arch AWS End User Messaging,,,,False
service,Architecture-Service-Icons_02072025/Arch_Business-Applications/48/Arch_AWS-Supply-Chain_48.svg,Arch_AWS-Supply-Chain_48.svg,Arch_AWS-Supply-Chain_48,48,Arch AWS Supply Chain,,,,False
service,Architecture-Service-Icons_02072025/Arch_Business-Applications/48/Arch_Amazon-Simple-Email-Service_48.svg,Arch_Amazon-Simple-Email-Service_48.svg,Arch_Amazon-Simple-Email-Service_48,48,Arch Amazon Simple Email Service,,,,False
service,Architecture-Service-Icons_02072025/Arch_Business-Applications/48/Arch_AWS-AppFabric_48.svg,Arch_AWS-AppFabric_48.svg,Arch_AWS-AppFabric_48,48,Arch AWS AppFabric,,,,False
service,Architecture-Service-Icons_02072025/Arch_Business-Applications/48/Arch_AWS-Wickr_48.svg,Arch_AWS-Wickr_48.svg,Arch_AWS-Wickr_48,48,Arch AWS Wickr,,,,False
service,Architecture-Service-Icons_02072025/Arch_Business-Applications/48/Arch_Alexa-For-Business_48.svg,Arch_Alexa-For-Business_48.svg,Arch_Alexa-For-Business_48,48,Arch Alexa For Business,,,,False
service,Architecture-Service-Icons_02072025/Arch_Business-Applications/48/Arch_Amazon-Pinpoint_48.svg,Arch_Amazon-Pinpoint_48.svg,Arch_Amazon-Pinpoint_48,48,Arch Amazon Pinpoint,,,,False
service,Architecture-Service-Icons_02072025/Arch_Business-Applications/48/Arch_Amazon-Pinpoint-APIs_48.svg,Arch_Amazon-Pinpoint-APIs_48.svg,Arch_Amazon-Pinpoint-APIs_48,48,Arch Amazon Pinpoint APIs,,,,False
service,Architecture-Service-Icons_02072025/Arch_Business-Applications/48/Arch_AWS-End-User-Messaging_48.svg,Arch_AWS-End-User-Messaging_48.svg,Arch_AWS-End-User-Messaging_48,48,Arch AWS End User Messaging,,,,False
